OBJECTID,Precinct,TownshipName,TownshipCode,PrecinctName,PrecinctID,Label,PollingID,Format,LastEditor,LastUpdate,Notes,ShapeSTArea,ShapeSTLength
210,80008,Lisle,8,Lisle 8,8-8,8,619,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,12976143.71104105,16715.695813639504
211,80053,Lisle,8,Lisle 53,8-53,53,261,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,15846675.471509134,18325.868949008756
212,80003,Lisle,8,Lisle 3,8-3,3,619,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,54264195.559657454,37387.72584355968
213,80055,Lisle,8,Lisle 55,8-55,55,314,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,10886885.700429626,14360.152047724676
214,80049,Lisle,8,Lisle 49,8-49,49,906,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,14178177.449137254,17617.419162963495
215,80022,Lisle,8,Lisle 22,8-22,22,448,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9668682.826366458,16076.862696438486
216,80032,Lisle,8,Lisle 32,8-32,32,933,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,13968436.638576904,19508.08783454233
217,80013,Lisle,8,Lisle 13,8-13,13,814,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8444738.421370922,17530.84593416459
218,80061,Lisle,8,Lisle 61,8-61,61,692,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,5557675.128134234,9900.884906929334
219,80042,Lisle,8,Lisle 42,8-42,42,920,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,5986050.335232801,12419.505163957454
220,80001,Lisle,8,Lisle 1,8-1,1,260,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,29573673.29740992,25671.955960067848
221,80064,Lisle,8,Lisle 64,8-64,64,305,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7150476.232910679,15679.799420691439
222,80058,Lisle,8,Lisle 58,8-58,58,394,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6124823.454888644,12103.481043504657
223,80070,Lisle,8,Lisle 70,8-70,70,803,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9273302.540323535,18253.9720727992
224,80069,Lisle,8,Lisle 69,8-69,69,897,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7791287.058844312,13518.680843318472
225,80068,Lisle,8,Lisle 68,8-68,68,897,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8251567.031974651,14729.53184747798
226,80006,Lisle,8,Lisle 6,8-6,6,784,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9175018.914816447,12847.40235776397
227,80014,Lisle,8,Lisle 14,8-14,14,814,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9142593.891233895,12513.042237375386
228,80004,Lisle,8,Lisle 4,8-4,4,260,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7700718.897295251,16005.068414036943
229,80011,Lisle,8,Lisle 11,8-11,11,260,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,10525289.630137037,16683.497798305987
230,80076,Lisle,8,Lisle 76,8-76,76,818,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,8250038.002510305,12595.348499308362
231,80067,Lisle,8,Lisle 67,8-67,67,818,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6638386.99718118,12125.2096225494
232,80015,Lisle,8,Lisle 15,8-15,15,448,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6752160.03029485,13498.16477916201
233,80071,Lisle,8,Lisle 71,8-71,71,692,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7246177.151820093,12787.637472830076
234,80044,Lisle,8,Lisle 44,8-44,44,472,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9377473.494992299,13349.010638057274
235,80052,Lisle,8,Lisle 52,8-52,52,815,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,6588333.446341766,10022.032301427105
236,80065,Lisle,8,Lisle 65,8-65,65,394,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7402940.677665241,14528.534812895738
237,50071,Milton,5,Milton 71,5-71,71,43,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9402552.40217903,14212.81291960882
238,50080,Milton,5,Milton 80,5-80,80,918,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9832514.111322468,14506.134375230828
239,50059,Milton,5,Milton 59,5-59,59,441,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,11937113.6340349,18112.07410304623
240,50067,Milton,5,Milton 67,5-67,67,922,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,11615515.17557742,14480.598358012214
241,50055,Milton,5,Milton 55,5-55,55,953,Portrait,"GIS-RLS, ED Guidance",2024-08-21T00:00:00Z,,16468148.716566639,16991.075541732895
242,50066,Milton,5,Milton 66,5-66,66,418,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,9491466.065948185,12718.768910027662
243,50074,Milton,5,Milton 74,5-74,74,418,Landscape,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,16869350.591634423,17462.04954944475
244,50032,Milton,5,Milton 32,5-32,32,80,Portrait,"GIS-RLS, ED Guidance",2023-07-05T00:00:00Z,,7967174.627317417,14577.868298095029
